,element,binding_energy,nuetron_number,element_name,proton_number
532,72Zn,625.8041,72,Zn,30
533,65Ge,556.0179,65,Ge,32
534,86As,727.6665,86,As,33
535,75Br,647.1174,75,Br,35
536,73Zn,631.1546,73,Zn,30
537,66Ge,569.2994,66,Ge,32
538,87As,732.4179,87,As,33
539,76Br,656.3378,76,Br,35
540,74Zn,639.5241,74,Zn,30
541,67Ge,578.4069,67,Ge,32
542,88As,735.1494,88,As,33
543,77Br,667.3553,77,Br,35
544,75Zn,644.4175,75,Zn,30
545,68Ge,590.8003,68,Ge,32
546,89As,739.6009,89,As,33
547,78Br,675.6448,78,Br,35
548,76Zn,652.2490,76,Zn,30
549,69Ge,598.9908,69,Ge,32
550,90As,741.9924,90,As,33
551,79Br,686.3313,79,Br,35
552,77Zn,656.8505,77,Zn,30
553,70Ge,610.5263,70,Ge,32
554,91As,745.7739,91,As,33
555,80Br,694.2237,80,Br,35
556,78Zn,663.7620,78,Zn,30
557,71Ge,617.9428,71,Ge,32
558,92As,747.5053,92,As,33
559,81Br,704.3822,81,Br,35
560,79Zn,667.9935,79,Zn,30
561,72Ge,628.6912,72,Ge,32
562,93As,751.1668,93,As,33
563,82Br,711.9747,82,Br,35
564,80Zn,674.1349,80,Zn,30
565,73Ge,635.4747,73,Ge,32
566,94As,752.7383,94,As,33
567,83Br,721.5572,83,Br,35
568,81Zn,676.6114,81,Zn,30
569,74Ge,645.6742,74,Ge,32
570,95As,756.2698,95,As,33
571,84Br,728.3946,84,Br,35
572,82Zn,680.8779,82,Zn,30
573,75Ge,652.1807,75,Ge,32
574,67Se,561.0460,67,Se,34
575,85Br,737.2971,85,Br,35
576,83Zn,682.7194,83,Zn,30
577,76Ge,661.6081,76,Ge,32
578,68Se,576.3375,68,Se,34
579,86Br,742.4016,86,Br,35
580,84Zn,686.3308,84,Zn,30
581,77Ge,667.6816,77,Ge,32
582,69Se,586.6289,69,Se,34
583,87Br,748.6891,87,Br,35
584,85Zn,687.4823,85,Zn,30
585,78Ge,676.4001,78,Ge,32
586,70Se,599.9404,70,Se,34
587,88Br,753.6245,88,Br,35
588,86Zn,690.8138,86,Zn,30
589,79Ge,682.0986,79,Ge,32
590,71Se,609.5619,71,Se,34
591,89Br,759.3960,89,Br,35
592,87Zn,691.4853,87,Zn,30
593,80Ge,690.0601,80,Ge,32
594,72Se,622.4404,72,Se,34
595,90Br,763.6975,90,Br,35
596,59Ga,486.1615,59,Ga,31
597,81Ge,695.0615,81,Ge,32
598,73Se,630.8298,73,Se,34
599,91Br,768.8190,91,Br,35
600,92Br,771.8104,92,Br,35
601,93Kr,786.6395,93,Kr,36
602,97Rb,812.2730,97,Rb,37
603,103Sr,849.4094,103,Sr,38
604,93Br,776.5619,93,Br,35
605,94Kr,791.9360,94,Kr,36
606,98Rb,816.1444,98,Rb,37
607,104Sr,854.6608,104,Sr,38
608,94Br,779.1834,94,Br,35
609,95Kr,795.0424,95,Kr,36
610,99Rb,820.9859,99,Rb,37
611,105Sr,856.8423,105,Sr,38
612,95Br,783.7049,95,Br,35
613,96Kr,800.1839,96,Kr,36
614,100Rb,824.3924,100,Rb,37
615,106Sr,861.5138,106,Sr,38
616,96Br,786.1464,96,Br,35
617,97Kr,802.8954,97,Kr,36
618,101Rb,829.5789,101,Rb,37
619,107Sr,863.3453,107,Sr,38
620,97Br,790.5678,97,Br,35
621,98Kr,807.7969,98,Kr,36
622,102Rb,832.1603,102,Rb,37
623,108Sr,867.8868,108,Sr,38
624,98Br,792.5293,98,Br,35
625,99Kr,810.0783,99,Kr,36
626,103Rb,836.8818,103,Rb,37
627,109Sr,869.3182,109,Sr,38
628,99Br,796.6208,99,Br,35
629,100Kr,815.0998,100,Kr,36
630,104Rb,839.0833,104,Rb,37
631,110Sr,873.6197,110,Sr,38
632,100Br,798.4023,100,Br,35
633,101Kr,816.8613,101,Kr,36
634,105Rb,843.1648,105,Rb,37
635,111Sr,874.8612,111,Sr,38
636,101Br,802.0337,101,Br,35
637,102Kr,821.3028,102,Kr,36
638,106Rb,844.8862,106,Rb,37
639,112Sr,878.6627,112,Sr,38
640,102Br,803.4452,102,Br,35
641,103Kr,822.9842,103,Kr,36
642,107Rb,848.5877,107,Rb,37
643,113Sr,879.8341,113,Sr,38
644,103Br,807.0067,103,Br,35
645,104Kr,827.0757,104,Kr,36
646,108Rb,850.1492,108,Rb,37
647,114Sr,883.7356,114,Sr,38
648,104Br,808.1482,104,Br,35
649,105Kr,828.2072,105,Kr,36
650,109Rb,853.4507,109,Rb,37
651,115Sr,885.1871,115,Sr,38
652,105Br,811.1496,105,Br,35
653,106Kr,831.7987,106,Kr,36
654,110Rb,854.8521,110,Rb,37
655,116Sr,888.9186,116,Sr,38
656,106Br,811.7611,106,Br,35
657,107Kr,832.5302,107,Kr,36
658,111Rb,857.9136,111,Rb,37
659,117Sr,890.0600,117,Sr,38
660,107Br,814.3626,107,Br,35
661,108Kr,835.9516,108,Kr,36
662,112Rb,859.0451,112,Rb,37
663,118Sr,893.5215,118,Sr,38
664,108Br,814.8941,108,Br,35
665,109Kr,836.3531,109,Kr,36
666,113Rb,862.1566,113,Rb,37
667,119Sr,894.8130,119,Sr,38
668,109Br,817.1055,109,Br,35
669,110Kr,839.5746,110,Kr,36
670,114Rb,863.4780,114,Rb,37
671,120Sr,898.0645,120,Sr,38
672,110Br,817.6670,110,Br,35
673,111Kr,839.9761,111,Kr,36
674,115Rb,866.5895,115,Rb,37
675,77Y,637.3186,77,Y,39
676,111Br,819.9985,111,Br,35
677,112Kr,843.0375,112,Kr,36
678,116Rb,867.7110,116,Rb,37
679,78Y,650.8200,78,Y,39
680,112Br,820.4900,112,Br,35
681,113Kr,843.5690,113,Kr,36
682,117Rb,870.5125,117,Rb,37
683,79Y,665.2715,79,Y,39
684,113Br,822.6814,113,Br,35
685,114Kr,846.5605,114,Kr,36
686,118Rb,871.6139,118,Rb,37
687,80Y,676.3930,80,Y,39
688,114Br,823.0429,114,Br,35
689,115Kr,847.0520,115,Kr,36
690,119Rb,874.1754,119,Rb,37
691,81Y,689.2245,81,Y,39
692,115Br,825.2144,115,Br,35
693,116Kr,849.8334,116,Kr,36
694,76Sr,638.0995,76,Sr,38
695,82Y,699.5259,82,Y,39
696,116Br,825.6259,116,Br,35
697,117Kr,850.2849,117,Kr,36
698,77Sr,649.6510,77,Sr,38
699,83Y,711.7874,83,Y,39
700,117Br,827.3473,117,Br,35
701,118Kr,852.6564,118,Kr,36
702,78Sr,663.2925,78,Sr,38
703,84Y,721.7189,84,Y,39
704,69Kr,561.3641,69,Kr,36
705,73Rb,606.8575,73,Rb,37
706,79Sr,673.2539,79,Sr,38
707,85Y,733.4054,85,Y,39
708,70Kr,578.0555,70,Kr,36
709,74Rb,620.0090,74,Rb,37
710,80Sr,686.1754,80,Sr,38
711,86Y,742.9108,86,Y,39
712,71Kr,591.3970,71,Kr,36
713,75Rb,633.6205,75,Rb,37
714,81Sr,695.5269,81,Sr,38
715,87Y,754.7173,87,Y,39
716,72Kr,606.9185,72,Kr,36
717,76Rb,645.0120,76,Rb,37
718,82Sr,708.1264,82,Sr,38
719,88Y,764.0688,88,Y,39
720,73Kr,617.9400,73,Kr,36
721,77Rb,657.4704,77,Rb,37
722,83Sr,716.9809,83,Sr,38
723,89Y,775.5493,89,Y,39
724,74Kr,631.2514,74,Kr,36
725,78Rb,667.6049,78,Rb,37
726,84Sr,728.9123,84,Sr,38
727,90Y,782.4057,90,Y,39
728,75Kr,641.4069,75,Kr,36
729,79Rb,679.5354,79,Rb,37
730,85Sr,737.4418,85,Sr,38
731,91Y,790.3382,91,Y,39
732,76Kr,654.2294,76,Kr,36
733,80Rb,688.9439,80,Rb,37
734,86Sr,748.9323,86,Sr,38
735,92Y,796.8937,92,Y,39
736,77Kr,663.5299,77,Kr,36
737,81Rb,700.2983,81,Rb,37
738,87Sr,757.3608,87,Sr,38
739,93Y,804.3772,93,Y,39
740,78Kr,675.5543,78,Kr,36
741,82Rb,709.1138,82,Rb,37
742,88Sr,768.4732,88,Sr,38
743,94Y,810.5516,94,Y,39
744,79Kr,683.9238,79,Kr,36
745,83Rb,720.0313,83,Rb,37
746,89Sr,774.8397,89,Sr,38
747,95Y,817.4891,95,Y,39
748,80Kr,695.4443,80,Kr,36
749,84Rb,728.8018,84,Rb,37
750,90Sr,782.6422,90,Sr,38
751,96Y,822.6466,96,Y,39
752,81Kr,703.3188,81,Kr,36
753,85Rb,739.2892,85,Rb,37
754,91Sr,788.4237,91,Sr,38
755,97Y,828.6881,97,Y,39
756,82Kr,714.2853,82,Kr,36
757,86Rb,747.9407,86,Rb,37
758,92Sr,795.7661,92,Sr,38
759,98Y,833.0096,98,Y,39
760,83Kr,721.7467,83,Kr,36
761,87Rb,757.8612,87,Rb,37
762,93Sr,801.0746,93,Sr,38
763,99Y,838.7310,99,Y,39
764,84Kr,732.2662,84,Kr,36
765,88Rb,763.9407,88,Rb,37
766,94Sr,807.8221,94,Sr,38
767,100Y,843.9225,100,Y,39
768,85Kr,739.3847,85,Kr,36
769,89Rb,771.1201,89,Rb,37
770,95Sr,812.1076,95,Sr,38
771,101Y,849.3540,101,Y,39
772,86Kr,749.2412,86,Kr,36
773,90Rb,776.8326,90,Rb,37
774,96Sr,818.0090,96,Sr,38
775,102Y,854.2255,102,Y,39
776,87Kr,754.7566,87,Kr,36
777,91Rb,783.3401,91,Rb,37
778,97Sr,822.0105,97,Sr,38
779,103Y,859.8769,103,Y,39
780,88Kr,761.8101,88,Kr,36
781,92Rb,788.4366,92,Rb,37
782,98Sr,827.6520,98,Sr,38
783,104Y,863.2484,104,Y,39
784,89Kr,766.9136,89,Kr,36
785,93Rb,794.3850,93,Rb,37
786,99Sr,831.4935,99,Sr,38
787,105Y,868.4799,105,Y,39
788,90Kr,773.2121,90,Kr,36
789,94Rb,798.2865,94,Rb,37
790,100Sr,837.6149,100,Sr,38
791,106Y,871.2514,106,Y,39
792,91Kr,777.7065,91,Kr,36
793,95Rb,803.6530,95,Rb,37
794,101Sr,840.8264,101,Sr,38
795,107Y,876.0428,107,Y,39
796,92Kr,783.0580,92,Kr,36
797,96Rb,807.0615,96,Rb,37
798,102Sr,846.5579,102,Sr,38
799,108Y,878.7043,108,Y,39
800,109Y,883.1058,109,Y,39
801,115Zr,916.4122,115,Zr,40
802,123Nb,957.9816,123,Nb,41
803,94Tc,809.2319,94,Tc,43
804,110Y,885.5473,110,Y,39
805,116Zr,921.0637,116,Zr,40
806,124Nb,958.5731,124,Nb,41
807,95Tc,819.1634,95,Tc,43
808,111Y,889.6887,111,Y,39
809,117Zr,923.1652,117,Zr,40
810,125Nb,960.2945,125,Nb,41
811,96Tc,827.0358,96,Tc,43
812,112Y,891.6702,112,Y,39
813,118Zr,927.5766,118,Zr,40
814,87Mo,736.7960,87,Mo,42
815,97Tc,836.5103,97,Tc,43
816,113Y,895.5117,113,Y,39
817,119Zr,929.5581,119,Zr,40
818,88Mo,750.2575,88,Mo,42
819,98Tc,843.7888,98,Tc,43
820,114Y,897.4732,114,Y,39
821,120Zr,933.8996,120,Zr,40
822,89Mo,760.5040,89,Mo,42
823,99Tc,852.7553,99,Tc,43
824,115Y,901.5046,115,Y,39
825,121Zr,936.0411,121,Zr,40
826,90Mo,773.7404,90,Mo,42
827,100Tc,859.5198,100,Tc,43
828,116Y,903.5761,116,Y,39
829,122Zr,940.0025,122,Zr,40
830,91Mo,783.8499,91,Mo,42
831,101Tc,867.9112,101,Tc,43
832,117Y,907.3376,117,Y,39
833,123Zr,940.0240,123,Zr,40
834,92Mo,796.5224,92,Mo,42
835,102Tc,874.2147,102,Tc,43
836,118Y,909.1291,118,Y,39
837,82Nb,680.3911,82,Nb,41
838,93Mo,804.5899,93,Mo,42
839,103Tc,882.3182,103,Tc,43
840,119Y,912.7805,119,Y,39
841,83Nb,694.8425,83,Nb,41
842,94Mo,814.2693,94,Mo,42
843,104Tc,888.2787,104,Tc,43
844,120Y,914.7520,120,Y,39
845,84Nb,707.4540,84,Nb,41
846,95Mo,821.6368,95,Mo,42
847,105Tc,896.2101,105,Tc,43
848,121Y,918.1735,121,Y,39
849,85Nb,720.9355,85,Nb,41
850,96Mo,830.7913,96,Mo,42
851,106Tc,901.7216,106,Tc,43
852,78Zr,638.9776,78,Zr,40
853,86Nb,731.6470,86,Nb,41
854,97Mo,837.6128,97,Mo,42
855,107Tc,909.1631,107,Tc,43
856,79Zr,652.5591,79,Zr,40
857,87Nb,744.3184,87,Nb,41
858,98Mo,846.2552,98,Mo,42
859,108Tc,914.3546,108,Tc,43
860,80Zr,668.3805,80,Zr,40
861,88Nb,754.6399,88,Nb,41
862,99Mo,852.1807,99,Mo,42
863,109Tc,921.0660,109,Tc,43
864,81Zr,681.2820,81,Zr,40
865,89Nb,766.8614,89,Nb,41
866,100Mo,860.4712,100,Mo,42
867,110Tc,925.8575,110,Tc,43
868,82Zr,694.7435,82,Zr,40
869,90Nb,777.0119,90,Nb,41
870,101Mo,865.8697,101,Mo,42
871,111Tc,932.0890,111,Tc,43
872,83Zr,704.9850,83,Zr,40
873,91Nb,789.0643,91,Nb,41
874,102Mo,873.9871,102,Mo,42
875,112Tc,935.4905,112,Tc,43
876,84Zr,718.1364,84,Zr,40
877,92Nb,796.9468,92,Nb,41
878,103Mo,879.2596,103,Mo,42
879,113Tc,941.5119,113,Tc,43
880,85Zr,727.9279,85,Zr,40
881,93Nb,805.7773,93,Nb,41
882,104Mo,886.9411,104,Mo,42
883,114Tc,945.3534,114,Tc,43
884,86Zr,740.8294,86,Zr,40
885,94Nb,813.0068,94,Nb,41
886,105Mo,892.0026,105,Mo,42
887,115Tc,951.1949,115,Tc,43
888,87Zr,750.2689,87,Zr,40
889,95Nb,821.4932,95,Nb,41
890,106Mo,898.9840,106,Mo,42
891,116Tc,954.7564,116,Tc,43
892,88Zr,762.6184,88,Zr,40
893,96Nb,828.3877,96,Nb,41
894,107Mo,903.6955,107,Mo,42
895,117Tc,960.1578,117,Tc,43
896,89Zr,771.9348,89,Zr,40
897,97Nb,836.4612,97,Nb,41
898,108Mo,910.3170,108,Mo,42
899,118Tc,963.5593,118,Tc,43
900,90Zr,783.9053,90,Zr,40
901,98Nb,842.4527,98,Nb,41
902,109Mo,913.9835,109,Mo,42
903,119Tc,969.0708,119,Tc,43
904,91Zr,791.0998,91,Zr,40
905,99Nb,849.3242,99,Nb,41
906,110Mo,919.9699,110,Mo,42
907,120Tc,972.7023,120,Tc,43
908,92Zr,799.7353,92,Zr,40
909,100Nb,854.9966,100,Nb,41
910,111Mo,923.3414,111,Mo,42
911,121Tc,978.1637,121,Tc,43
912,93Zr,806.4697,93,Zr,40
913,101Nb,862.0891,101,Nb,41
914,112Mo,929.3329,112,Mo,42
915,122Tc,981.5452,122,Tc,43
916,94Zr,814.6892,94,Zr,40
917,102Nb,867.5606,102,Nb,41
918,113Mo,932.3844,113,Mo,42
919,123Tc,986.7367,123,Tc,43
920,95Zr,821.1517,95,Zr,40
921,103Nb,874.5221,103,Nb,41
922,114Mo,938.0859,114,Mo,42
923,124Tc,990.1282,124,Tc,43
924,96Zr,829.0062,96,Zr,40
925,104Nb,879.6135,104,Nb,41
926,115Mo,941.0373,115,Mo,42
927,125Tc,994.7897,125,Tc,43
928,97Zr,834.5856,97,Zr,40
929,105Nb,886.3650,105,Nb,41
930,116Mo,946.4088,116,Mo,42
931,126Tc,996.0011,126,Tc,43
932,98Zr,840.9901,98,Zr,40
933,106Nb,890.7865,106,Nb,41
934,117Mo,949.1503,117,Mo,42
935,127Tc,998.2426,127,Tc,43
936,99Zr,845.5686,99,Zr,40
937,107Nb,896.4930,107,Nb,41
938,118Mo,954.4818,118,Mo,42
939,128Tc,999.0641,128,Tc,43
940,100Zr,852.4401,100,Zr,40
941,108Nb,899.4994,108,Nb,41
942,119Mo,957.4232,119,Mo,42
943,129Tc,1001.1956,129,Tc,43
944,101Zr,857.3015,101,Zr,40
945,109Nb,904.9809,109,Nb,41
946,120Mo,962.7147,120,Mo,42
947,130Tc,1001.6270,130,Tc,43
948,102Zr,863.7630,102,Zr,40
949,110Nb,908.5224,110,Nb,41
950,121Mo,965.5462,121,Mo,42
951,131Tc,1003.6485,131,Tc,43
952,103Zr,868.3545,103,Zr,40
953,111Nb,913.7739,111,Nb,41
954,122Mo,970.5977,122,Mo,42
955,132Tc,1003.9000,132,Tc,43
956,104Zr,874.3960,104,Zr,40
957,112Nb,916.7853,112,Nb,41
958,123Mo,973.4291,123,Mo,42
959,133Tc,1005.7415,133,Tc,43
960,105Zr,878.0524,105,Zr,40
961,113Nb,921.7068,113,Nb,41
962,124Mo,978.1006,124,Mo,42
963,91Ru,768.4870,91,Ru,44
964,106Zr,884.0589,106,Zr,40
965,114Nb,924.5083,114,Nb,41
966,125Mo,978.6821,125,Mo,42
967,92Ru,782.5585,92,Ru,44
968,107Zr,886.9504,107,Zr,40
969,115Nb,929.2698,115,Nb,41
970,126Mo,981.0336,126,Mo,42
971,93Ru,793.4900,93,Ru,44
972,108Zr,892.5719,108,Zr,40
973,116Nb,931.9812,116,Nb,41
974,127Mo,981.1950,127,Mo,42
975,94Ru,806.8605,94,Ru,44
976,109Zr,895.1033,109,Zr,40
977,117Nb,936.6627,117,Nb,41
978,128Mo,983.3165,128,Mo,42
979,95Ru,815.8139,95,Ru,44
980,110Zr,900.5148,110,Zr,40
981,118Nb,939.4142,118,Nb,41
982,89Tc,752.7165,89,Tc,43
983,96Ru,826.5074,96,Ru,44
984,111Zr,902.7963,111,Zr,40
985,119Nb,944.0157,119,Nb,41
986,90Tc,763.7580,90,Tc,43
987,97Ru,834.6189,97,Ru,44
988,112Zr,907.6678,112,Zr,40
989,120Nb,946.6871,120,Nb,41
990,91Tc,776.8495,91,Tc,43
991,98Ru,844.8024,98,Ru,44
992,113Zr,909.6893,113,Zr,40
993,121Nb,951.1886,121,Nb,41
994,92Tc,787.8699,92,Tc,43
995,99Ru,852.2658,99,Ru,44
996,114Zr,914.3207,114,Zr,40
997,122Nb,953.8801,122,Nb,41
998,93Tc,800.6094,93,Tc,43
999,100Ru,861.9393,100,Ru,44
1000,101Ru,868.7418,101,Ru,44
1001,110Ru,933.6751,110,Ru,44
1002,119Ru,979.7984,119,Ru,44
1003,128Ru,1017.7616,128,Ru,44
1004,102Ru,877.9623,102,Ru,44
1005,111Ru,938.5365,111,Ru,44
1006,120Ru,985.9998,120,Ru,44
1007,129Ru,1018.6031,129,Ru,44
1008,103Ru,884.1947,103,Ru,44
1009,112Ru,945.6080,112,Ru,44
1010,121Ru,989.8013,121,Ru,44
1011,130Ru,1021.3146,130,Ru,44
1012,104Ru,893.0992,104,Ru,44
1013,113Ru,949.7595,113,Ru,44
1014,122Ru,995.8028,122,Ru,44
1015,131Ru,1021.8161,131,Ru,44
1016,105Ru,899.0097,105,Ru,44
1017,114Ru,956.1410,114,Ru,44
1018,123Ru,999.3243,123,Ru,44
1019,132Ru,1024.4275,132,Ru,44
1020,106Ru,907.4752,106,Ru,44
1021,115Ru,960.1125,115,Ru,44
1022,124Ru,1005.0857,124,Ru,44
1023,133Ru,1024.5790,133,Ru,44
1024,107Ru,912.9306,107,Ru,44
1025,116Ru,966.5739,116,Ru,44
1026,125Ru,1008.4772,125,Ru,44
1027,134Ru,1026.7905,134,Ru,44
1028,108Ru,921.0521,108,Ru,44
1029,117Ru,970.1554,117,Ru,44
1030,126Ru,1013.7687,126,Ru,44
1031,135Ru,1026.8621,135,Ru,44
1032,109Ru,926.0836,109,Ru,44
1033,118Ru,976.2169,118,Ru,44
1034,127Ru,1014.8602,127,Ru,44
